abbr,short,long,bookCode,language
2ki,2 Kings,2 Kings,2ki,eng
আদি,আদিপুস্তক,আদি পুস্তক,gen,asm
যাত্ৰা,যাত্রাপুস্তক,যাত্ৰা পুস্তক,exo,asm
লেবী,লেবীয়া পুস্তক,লেবীয়া পুস্তক,lev,asm
গন,গননা পুস্তক,গননা পুস্তক,num,asm
দ্বি.বি.,দ্বিতীয় বিৱৰণ,দ্বিতীয় বিৱৰণ,deu,asm
যিহো,যিহোচূৱা,যিহোচূৱা,jos,asm
বিচাৰ,বিচাৰকর্তাবিলাক,বিচাৰকর্তাবিলাক,jdg,asm
ৰূথ,ৰূথ,ৰূথ,rut,asm
1চমূ,1 চমূৱেল,1 চমূৱেল,1sa,asm
2চমূ,2 চমূৱেল,2 চমূৱেল,2sa,asm
1ৰাজা,1 ৰাজাৱলী,1 ৰাজাৱলী,1ki,asm
2ৰাজা,2 ৰাজাৱলি,2 ৰাজাৱলি,2ki,asm
1 বংশা,1 বংশাৱলি,1 বংশাৱলি,1ch,asm
2বংশা,2 বংশাৱলি,2 বংশাৱলি,2ch,asm
ইজ্ৰা,ইজ্ৰা,ইজ্ৰা,ezr,asm
নহি,নহিমিয়া,নহিমিয়া,neh,asm
ইষ্ট,ইষ্টেৰ,ইষ্টেৰ,est,asm
ইয়ো,ইয়োব,ইয়োব,job,asm
গীত,গীতমালা,গীতমালা,psa,asm
হিতো,হিতোপদেশ,হিতোপদেশ,pro,asm
উপ,উপদেশক,উপদেশক,ecc,asm
পৰম,পৰমগীত,পৰমগীত,sng,asm
যিচ,যিচয়া,যিচয়া,isa,asm
যিৰি,যিৰিমিয়া,যিৰিমিয়া,jer,asm
বিলা,বিলাপ,বিলাপ,lam,asm
যিহি,যিহিষ্কেল,যিহিষ্কেল,ezk,asm
দানি,দানিয়েল,দানিয়েল,dan,asm
হোচ,হোচেয়া,হোচেয়া,hos,asm
যোৱে,যোৱেল,যোৱেল,jol,asm
আমো,আমোচ,আমোচ,amo,asm
ওব,ওবদিয়া,ওবদিয়া,oba,asm
যোনা,যোনা,যোনা,jon,asm
মীখা,মীখা,মীখা,mic,asm
নহূ,নহূম,নহূম,nam,asm
হব,হবক্কুক,হবক্কুক,hab,asm
চফ,চফনিয়া,চফনিয়া,zep,asm
হ্গ্গ,হ্গ্গয়,হ্গ্গয়,hag,asm
জখ,জখৰিয়া,জখৰিয়া,zec,asm
মলা,মলাখী,মলাখী,mal,asm
মথি,মথি,মথিয়ে লিখা শুভবাৰ্তা,mat,asm
মাৰ্ক,মাৰ্ক,মাৰ্কে লিখা শুভবাৰ্তা,mrk,asm
লূক,লূক,লূকে লিখা শুভবার্তা,luk,asm
যোহন,যোহন,যোহনে লিখা শুভবাৰ্তা,jhn,asm
পাঁচনি,পাঁচনি,পাঁচনি সকলৰ কৰ্ম,act,asm
ৰোমীয়া,ৰোমীয়া,ৰোমীয়া সকলৰ প্ৰতি পত্ৰ,rom,asm
1কৰি,1 কৰিন্থীয়া,1 কৰিন্থীয়া,1co,asm
2কৰি,2 কৰিন্থীয়া,2 কৰিন্থীয়া,2co,asm
গালা,গালাতীয়া,গালাতীয়া পত্র,gal,asm
ইফি,ইফিচীয়া,ইফিচীয়া পত্ৰ,eph,asm
ফিল,ফিলিপীয়া,ফিলিপীয়া পত্ৰ,php,asm
কল,কলচীয়া,কলচীয়া পত্ৰ,col,asm
1থিচ,1 থিচলনীকীয়া,1 থিচলনীকীয়া,1th,asm
2থিচ,2 থিচলনীকীয়া,2 থিচলনীকীয়া,2th,asm
1তীম,1 তীমথিয়,1 তীমথিয়,1ti,asm
2তীম,2 তীমথিয়,2 তীমথিয়,2ti,asm
তীত,তীত,তীতৰ প্ৰতি পত্ৰ,tit,asm
ফিলী,ফিলীমন,ফিলীমনৰ প্ৰতি পত্ৰ,phm,asm
ইব্ৰী,ইব্ৰী,ইব্ৰীসকলৰ প্ৰতি পত্ৰ,heb,asm
যাকো,যাকোব,যাকোবৰ পত্ৰ,jas,asm
1পিত,1 পিতৰ,1 পিতৰ,1pe,asm
2পিত,2 পিতৰ,2 পিতৰ,2pe,asm
1যো,1 যোহন,1 যোহন,1jn,asm
2যো,2 যোহন,2 যোহন,2jn,asm
3যো,3 যোহন,3 যোহন,3jn,asm
যিহূদা,যিহূদা,যিহূদাৰ পত্ৰ,jud,asm
প্ৰকা,প্ৰকাশিত বাক্য,যোহনৰ প্ৰতি প্ৰকাশিত বাক্য,rev,asm
আদি,আদি,আদি পুস্তক,gen,ben
যাত্ৰা,যাত্ৰা,যাত্ৰা পুস্তক,exo,ben
লেবী,লেবীয়া,লেবীয়া পুস্তক,lev,ben
গন,গননা,গননা পুস্তক,num,ben
1 રાજા.,1 રાજાઓ,1 રાજાઓ,1ki,guj
দ্বি.বি.,দ্বিতীয় বিৱৰণ,দ্বিতীয় বিৱৰণ,deu,ben
যিহো,যিহোচূৱা,যিহোচূৱা,jos,ben
বিচাৰ,বিচাৰকর্তাবিলাক,বিচাৰকর্তাবিলাক,jdg,ben
ৰূথ,ৰূথ,ৰূথ,rut,ben
1চমূ,1 চমূৱেল,1 চমূৱেল,1sa,ben
2চমূ,2 চমূৱেল,2 চমূৱেল,2sa,ben
1ৰাজা,1 ৰাজাৱলী,1 ৰাজাৱলী,1ki,ben
2ৰাজা,2 ৰাজাৱলি,2 ৰাজাৱলি,2ki,ben
1 বংশা,1 বংশাৱলি,1 বংশাৱলি,1ch,ben
2বংশা,2 বংশাৱলি,2 বংশাৱলি,2ch,ben
ইজ্ৰা,ইজ্ৰা,ইজ্ৰা,ezr,ben
নহি,নহিমিয়া,নহিমিয়া,neh,ben
ইষ্ট,ইষ্টেৰ,ইষ্টেৰ,est,ben
ইয়ো,ইয়োব,ইয়োব,job,ben
গীত,গীতমালা,গীতমালা,psa,ben
হিতো,হিতোপদেশ,হিতোপদেশ,pro,ben
উপ,উপদেশক,উপদেশক,ecc,ben
পৰম,পৰমগীত,পৰমগীত,sng,ben
যিচ,যিচয়া,যিচয়া,isa,ben
যিৰি,যিৰিমিয়া,যিৰিমিয়া,jer,ben
বিলা,বিলাপ,বিলাপ,lam,ben
যিহি,যিহিষ্কেল,যিহিষ্কেল,ezk,ben
দানি,দানিয়েল,দানিয়েল,dan,ben
হোচ,হোচেয়া,হোচেয়া,hos,ben
যোৱে,যোৱেল,যোৱেল,jol,ben
আমো,আমোচ,আমোচ,amo,ben
ওব,ওবদিয়া,ওবদিয়া,oba,ben
যোনা,যোনা,যোনা,jon,ben
মীখা,মীখা,মীখা,mic,ben
নহূ,নহূম,নহূম,nam,ben
হব,হবক্কুক,হবক্কুক,hab,ben
চফ,চফনিয়া,চফনিয়া,zep,ben
হ্গ্গ,হ্গ্গয়,হ্গ্গয়,hag,ben
জখ,জখৰিয়া,জখৰিয়া,zec,ben
মলা,মলাখী,মলাখী,mal,ben
মথি,মথি,মথিয়ে লিখা শুভবাৰ্তা,mat,ben
মার্ক,মার্ক,মাৰ্কে লিখা শুভবাৰ্তা,mrk,ben
লূক,লূক,লূকে লিখা শুভবার্তা,luk,ben
যোহন,যোহন,যোহনে লিখা শুভবাৰ্তা,jhn,ben
পাঁচনি,पশিষ্যচরিত,পাঁচনি সকলৰ কৰ্ম,act,ben
ৰোমীয়া,ৰোমীয়া,ৰোমীয়া সকলৰ প্ৰতি পত্ৰ,rom,ben
1কৰি,1 কৰিন্থীয়া,1 কৰিন্থীয়া,1co,ben
2কৰি,2 কৰিন্থীয়া,2 কৰিন্থীয়া,2co,ben
গালা,গালাতীয়া,গালাতীয়া পত্র,gal,ben
ইফি,ইফিচীয়া,ইফিচীয়া পত্ৰ,eph,ben
ফিল,ফিলিপীয়া,ফিলিপীয়া পত্ৰ,php,ben
কল,কলচীয়া,কলচীয়া পত্ৰ,col,ben
1থিচ,1 থিচলনীকীয়া,1 থিচলনীকীয়া,1th,ben
2থিচ,2 থিচলনীকীয়া,2 থিচলনীকীয়া,2th,ben
1তীম,1 তীমথিয়,1 তীমথিয়,1ti,ben
2তীম,2 তীমথিয়,2 তীমথিয়,2ti,ben
তীত,তীত,তীতৰ প্ৰতি পত্ৰ,tit,ben
ফিলী,ফিলীমন,ফিলীমনৰ প্ৰতি পত্ৰ,phm,ben
ইব্ৰী,হিব্রুদের,ইব্ৰীসকলৰ প্ৰতি পত্ৰ,heb,ben
যাকো,যাকোবের,যাকোবৰ পত্ৰ,jas,ben
1পিত,1 পিতরের,1 পিতৰ,1pe,ben
2পিত,2 পিতরের,2 পিতৰ,2pe,ben
1যো,1 যোহনের,1 যোহন,1jn,ben
2যো,2 যোহনের,2 যোহন,2jn,ben
3যো,3 যোহনের,3 যোহন,3jn,ben
যিহূদা,যুদের,যিহূদাৰ পত্ৰ,jud,ben
প্ৰকা,पপ্রত্যাদেশ,যোহনৰ প্ৰতি প্ৰকাশিত বাক্য,rev,ben
ઉત.,ઉત્પત્તિ,ઉત્પત્તિ,gen,guj
નિર્ગ.,નિર્ગમન,નિર્ગમન,exo,guj
લેવ.,લેવીય,લેવીય,lev,guj
ગણ.,ગણના,ગણના,num,guj
પુન.,પુનર્નિયમ,પુનર્નિયમ,deu,guj
યહો.,યહોશુઆ,યહોશુઆ,jos,guj
ન્યાય.,ન્યાયાધીશો,ન્યાયાધીશો,jdg,guj
રૂથ.,રૂથ,રૂથ,rut,guj
1 શમુ.,1 શમુએલ,1 શમુએલ,1sa,guj
2 શમુ.,2 શમુએલ,2 શમુએલ,2sa,guj
2 રાજા.,2 રાજાઓ,2 રાજાઓ,2ki,guj
1 કાળ.,1 કાળવૃતાંત,1 કાળવૃતાંત,1ch,guj
2 કાળ.,2 કાળવૃતાંત,2 કાળવૃતાંત,2ch,guj
એઝ.,એઝરા,એઝરા,ezr,guj
નહે.,નહેમ્યા,નહેમ્યા,neh,guj
એસ્.,એસ્તેર,એસ્તેર,est,guj
અયૂ.,અયૂબ,અયૂબ,job,guj
ગી.શા.,ગીતશાસ્ત્ર,ગીતશાસ્ત્ર,psa,guj
નીતિ.,નીતિવચનો,નીતિવચનો,pro,guj
સભા.,સભાશિક્ષક,સભાશિક્ષક,ecc,guj
ગીત.,ગીતોનું ગીત,ગીતોનું ગીત,sng,guj
યશા.,યશાયા,યશાયા,isa,guj
યર્મિ.,યર્મિયા,યર્મિયા,jer,guj
વિલા.,યર્મિયાનો વિલાપ,યર્મિયાનો વિલાપ,lam,guj
હઝ.,હઝકિયેલ,હઝકિયેલ,ezk,guj
દાન.,દાનિયેલ,દાનિયેલ,dan,guj
હોશ.,હોશિયા,હોશિયા,hos,guj
યોએ.,યોએલ,યોએલ,jol,guj
આમ.,આમોસ,આમોસ,amo,guj
ઓબ.,ઓબાદ્યા,ઓબાદ્યા,oba,guj
યૂન.,યૂના,યૂના,jon,guj
મીખ.,મીખાહ,મીખાહ,mic,guj
નાહ.,નાહૂમ,નાહૂમ,nam,guj
હબ.,હબાક્કુક,હબાક્કુક,hab,guj
સફ.,સફાન્યા,સફાન્યા,zep,guj
હાગ.,હાગ્ગાય,હાગ્ગાય,hag,guj
ઝખ.,ઝખાર્યા,ઝખાર્યા,zec,guj
માલ.,માલાખી,માલાખી,mal,guj
માથ.,માથ્થી,માથ્થીની લખેલી સુવાર્તા,mat,guj
માર્ક,માર્ક,માર્કની લખેલી સુવાર્તા,mrk,guj
લૂક,લૂક,લૂકની લખેલી સુવાર્તા,luk,guj
યોહ.,યોહાન,યોહાનની લખેલી સુવાર્તા,jhn,guj
પ્રે.કૃ.,પ્રેરિતોનાં ક્રત્યો,પ્રેરીતોનાં કૃત્યો,act,guj
રોમ.,રોમનોને,રોમનોને પાઉલ પ્રેરીતનો પત્ર,rom,guj
1 કરિં.,1 કરિંથીઓને,કરિંથીઓને પાઉલ પ્રેરીતનો પહેલો પત્ર,1co,guj
2 કરિં.,2 કરિંથીઓને,કરિંથીઓને પાઉલ પ્રેરીતનો બીજો પત્ર,2co,guj
ગલ.,ગલાતીઓને,ગલાતીઓને પાઉલ પ્રેરીતનો પત્ર,gal,guj
એફે.,એફેસીઓને,એફેસીઓને પાઉલ પ્રેરીતનો પત્ર,eph,guj
ફિલિ.,ફિલિપ્પીઓને,ફિલિપ્પીઓને પાઉલ પ્રેરીતનો પત્ર,php,guj
કલો.,ક્લોસ્સીઓને,ક્લોસ્સીઓને પાઉલ પ્રેરીતનો પત્ર,col,guj
ಮಾರ್ಕ,ಮಾರ್ಕನು,ಮಾರ್ಕನು,mrk,kan
1 થેસ.,1 થેસ્સલોનિકીઓને,થેસ્સલોનિકીઓને પાઉલ પ્રેરીતનો પહેલો પત્ર,1th,guj
2 થેસ.,2 થેસ્સલોનિકીઓને,થેસ્સલોનિકીઓને પાઉલ પ્રેરીતનો બીજો પત્ર,2th,guj
1 તિમ.,1 તિમોથીને,તિમોથીને પાઉલ પ્રેરીતનો પહેલો પત્ર,1ti,guj
2 તિમ.,2 તિમોથીને,તિમોથીને પાઉલ પ્રેરીતનો બીજો પત્ર,2ti,guj
તિત.,તિતસને,તિતસને પાઉલ પ્રેરીતનો પત્ર,tit,guj
ફિલે.,ફિલેમોનને,ફિલેમોનને પાઉલ પ્રેરીતનો પત્ર,phm,guj
હિબ.,હિબ્રૂઓને,હિબ્રૂઓને પત્ર,heb,guj
યાકૂ.,યાકૂબનો,યાકૂબનો પત્ર,jas,guj
1 પિત.,1 પિતરનો,પિતરનો પહેલો પત્ર,1pe,guj
2 પિત.,2 પિતરનો,પિતરનો બીજો પત્ર,2pe,guj
1 યોહ.,1 યોહાનનો,યોહાનનો પહેલો પત્ર,1jn,guj
2 યોહ.,2 યોહાનનો,યોહાનનો બીજો પત્ર,2jn,guj
3 યોહ.,3 યોહાનનો,યોહાનનો ત્રીજો પત્ર,3jn,guj
યહૂ.,યહૂદાનો,યહૂદાનો પત્ર,jud,guj
પ્રક.,પ્રકટીકરણ,પ્રકટીકરણ,rev,guj
उत्प.,उत्पत्ति,उत्पत्ति,gen,hin
निर्ग.,निर्गमन,निर्गमन,exo,hin
लैव्य.,लैव्यव्यवस्था,लैव्यव्यवस्था,lev,hin
गिन.,गिनती,गिनती,num,hin
व्यव.,व्यवस्थाविवरण,व्यवस्थाविवरण,deu,hin
यहो.,यहोशू,यहोशू,jos,hin
न्याय.,न्यायियों,न्यायियों,jdg,hin
रूत,रूत,रूत,rut,hin
1 शमू.,1 शमूएल,शमूएल की पहली पुस्तक,1sa,hin
2 शमू.,2 शमूएल,शमूएल की दूसरी पुस्तक,2sa,hin
1 राजा.,1 राजाओं,राजाओं की पहली पुस्तक,1ki,hin
2 राजा.,2 राजाओं,राजाओं की दूसरी पुस्तक,2ki,hin
1 इति.,1 इतिहास,इतिहास की पहली पुस्तक,1ch,hin
2 इति.,2 इतिहास,इतिहास की दूसरी पुस्तक,2ch,hin
एज्रा,एज्रा,एज्रा,ezr,hin
नहे.,नहेम्याह,नहेम्याह,neh,hin
एस्ते.,एस्तेर,एस्तेर,est,hin
अय्यू.,अय्यूब,अय्यूब,job,hin
भज.,भजन संहिता,भजन संहिता,psa,hin
नीति.,नीतिवचन,नीतिवचन,pro,hin
सभो.,सभोपदेशक,सभोपदेशक,ecc,hin
श्रेष्ठ.,श्रेष्ठगीत,श्रेष्ठगीत,sng,hin
यशा.,यशायाह,यशायाह,isa,hin
यिर्म.,यिर्मयाह,यिर्मयाह,jer,hin
विला.,विलापगीत,विलापगीत,lam,hin
यहे.,यहेजकेल,यहेजकेल,ezk,hin
दानि.,दानिय्येल,दानिय्येल,dan,hin
होशे,होशे,होशे,hos,hin
योए.,योएल,योएल,jol,hin
आमो.,आमोस,आमोस,amo,hin
ओब.,ओबद्याह,ओबद्याह,oba,hin
योना,योना,योना,jon,hin
मीका,मीका,मीका,mic,hin
नहू.,नहूम,नहूम,nam,hin
हब.,हबक्कूक,हबक्कूक,hab,hin
सप.,सपन्याह,सपन्याह,zep,hin
हाग्गै,हाग्गै,हाग्गै,hag,hin
जक.,जकर्याह,जकर्याह,zec,hin
मला.,मलाकी,मलाकी,mal,hin
मत्ती,मत्ती,मत्ती रचित सुसमाचार,mat,hin
मर.,मरकुस,मरकुस रचित सुसमाचार,mrk,hin
लूका,लूका,लूका रचित सुसमाचार,luk,hin
यूह.,यूहन्ना,यूहन्ना रचित सुसमाचार,jhn,hin
प्रेरि.,प्रेरितों के काम,प्रेरितों के काम,act,hin
रोम.,रोमियों,रोमियों के नाम पौलुस प्रेरित की पत्री,rom,hin
1कुरि.,1 कुरिन्थियों,कुरिन्थियों के नाम पौलुस प्रेरित की पहली पत्री,1co,hin
2कुरि.,2 कुरिन्थियों,कुरिन्थियों के नाम पौलुस प्रेरित की दूसरी पत्री,2co,hin
गला.,गलातियों,गलातियों के नाम पौलुस प्रेरित की पत्री,gal,hin
इफि.,इफिसियों,इफिसियों के नाम पौलुस प्रेरित की पत्री,eph,hin
फिलि.,फिलिप्पियों,फिलिप्पियों के नाम पौलुस प्रेरित की पत्री,php,hin
कुलु.,कुलुस्सियों,कुलुस्सियों के नाम पौलुस प्रेरित की पत्री,col,hin
1थिस्स.,1 थिस्सलुनीकियों,थिस्सलुनीकियों के नाम पौलुस प्रेरित की पहली पत्री,1th,hin
2 थिस्स.,2 थिस्सलुनीकियों,थिस्सलुनीकियों के नाम पौलुस प्रेरित की दूसरी पत्री,2th,hin
1 तीमु.,1 तीमुथियुस,तीमुथियुस के नाम प्रेरित पौलुस की पहली पत्री,1ti,hin
2 तीमु.,2 तीमुथियुस,तीमुथियुस के नाम प्रेरित पौलुस की दूसरी पत्री,2ti,hin
तीतु.,तीतुस,तीतुस के नाम प्रेरित पौलुस की पत्री,tit,hin
फिले.,फिलेमोन,फिलेमोन के नाम प्रेरित पौलुस की पत्री,phm,hin
इब्रा.,इब्रानियों,इब्रानियों के नाम पत्री,heb,hin
याकू.,याकूब,याकूब की पत्री,jas,hin
1 पत.,1 पतरस,पतरस की पहली पत्री,1pe,hin
2 पत.,2 पतरस,पतरस की दूसरी पत्री,2pe,hin
1 यूह.,1 यूहन्ना,यूहन्ना की पहली पत्री,1jn,hin
2 यूह.,2 यूहन्ना,यूहन्ना की दूसरी पत्री,2jn,hin
3 यूह.,3 यूहन्ना,यूहन्ना की तीसरी पत्री,3jn,hin
यहू.,यहूदा,यहूदा की पत्री,jud,hin
प्रका.,प्रकाशितवाक्य,यूहन्ना का प्रकाशितवाक्य,rev,hin
ಆದಿ,ಆದಿಕಾಂಡ,ಆದಿಕಾಂಡ,gen,kan
ವಿಮೋ,ವಿಮೋಚನಕಾಂಡ,ವಿಮೋಚನಕಾಂಡ,exo,kan
ಯಾಜ,ಯಾಜಕಕಾಂಡ,ಯಾಜಕಕಾಂಡ,lev,kan
ಅರಣ್ಯ,ಅರಣ್ಯಕಾಂಡ,ಅರಣ್ಯಕಾಂಡ,num,kan
ಧರ್ಮೋ,ಧರ್ಮೋಪದೇಶಕಾಂಡ,ಧರ್ಮೋಪದೇಶಕಾಂಡ,deu,kan
ಯೆಹೋ,ಯೆಹೋಶುವನು,ಯೆಹೋಶುವನು,jos,kan
ನ್ಯಾಯ,ನ್ಯಾಯಸ್ಥಾಪಕರು,ನ್ಯಾಯಸ್ಥಾಪಕರು,jdg,kan
ರೂತ,ರೂತಳು,ರೂತಳು,rut,kan
1ಸಮು,1 ಸಮುವೇಲನು,1 ಸಮುವೇಲನು,1sa,kan
2ಸಮು,2 ಸಮುವೇಲನು,2 ಸಮುವೇಲನು,2sa,kan
1ಅರಸು,1 ಅರಸುಗಳು,1 ಅರಸುಗಳು,1ki,kan
2ಅರಸು,2 ಅರಸುಗಳು,2 ಅರಸುಗಳು,2ki,kan
1ಪೂರ್ವ,1 ಪೂರ್ವಕಾಲವೃತ್ತಾಂತ,1 ಪೂರ್ವಕಾಲವೃತ್ತಾಂತ,1ch,kan
2ಪೂರ್ವ,2 ಪೂರ್ವಕಾಲವೃತ್ತಾಂತ,2 ಪೂರ್ವಕಾಲವೃತ್ತಾಂತ,2ch,kan
ಎಜ್ರ,ಎಜ್ರನು,ಎಜ್ರನು,ezr,kan
ನೆಹೆ,ನೆಹೆಮೀಯನು,ನೆಹೆಮೀಯನು,neh,kan
ಎಸ್ತೇ,ಎಸ್ತೇರಳು,ಎಸ್ತೇರಳು,est,kan
ಯೋಬ,ಯೋಬನು,ಯೋಬನು,job,kan
ಕೀರ್ತ,ಕೀರ್ತನೆಗಳು,ಕೀರ್ತನೆಗಳು,psa,kan
ಜ್ಞಾನೋ,ಜ್ಞಾನೋಕ್ತಿಗಳು,ಜ್ಞಾನೋಕ್ತಿಗಳು,pro,kan
ಪ್ರಸ,ಪ್ರಸಂಗಿ,ಪ್ರಸಂಗಿ,ecc,kan
ಪ. ಗೀ.,ಪರಮಗೀತೆ,ಪರಮಗೀತೆ,sng,kan
ಯೆಶಾ,ಯೆಶಾಯನು,ಯೆಶಾಯನು,isa,kan
ಯೆರೆ,ಯೆರೆಮೀಯನು,ಯೆರೆಮೀಯನು,jer,kan
ಪ್ರಲಾ,ಪ್ರಲಾಪಗಳು,ಪ್ರಲಾಪಗಳು,lam,kan
ಯೆಹೆ,ಯೆಹೆಜ್ಕೇಲನು,ಯೆಹೆಜ್ಕೇಲನು,ezk,kan
ದಾನಿ,ದಾನಿಯೇಲನು,ದಾನಿಯೇಲನು,dan,kan
ಹೋಶೇ,ಹೋಶೇಯನು,ಹೋಶೇಯನು,hos,kan
ಯೋವೇ,ಯೋವೇಲನು,ಯೋವೇಲನು,jol,kan
ಆಮೋ,ಆಮೋಸನು,ಆಮೋಸನು,amo,kan
ಓಬ,ಓಬದ್ಯನು,ಓಬದ್ಯನು,oba,kan
ಯೋನ,ಯೋನನು,ಯೋನನು,jon,kan
ಮೀಕ,ಮೀಕನು,ಮೀಕನು,mic,kan
ನಹೂ,ನಹೂಮನು,ನಹೂಮನು,nam,kan
ಹಬ,ಹಬಕ್ಕೂಕನು,ಹಬಕ್ಕೂಕನು,hab,kan
ಚೆಫ,ಚೆಫನ್ಯನು,ಚೆಫನ್ಯನು,zep,kan
ಹಗ್ಗಾ,ಹಗ್ಗಾಯನು,ಹಗ್ಗಾಯನು,hag,kan
ಜೆಕ,ಜೆಕರ್ಯನು,ಜೆಕರ್ಯನು,zec,kan
ಮಲಾ,ಮಲಾಕಿಯನು,ಮಲಾಕಿಯನು,mal,kan
ಮತ್ತಾ,ಮತ್ತಾಯನು,ಮತ್ತಾಯನು,mat,kan
ಲೂಕ,ಲೂಕನು,ಲೂಕನು,luk,kan
ಯೋಹಾ,ಯೋಹಾನನು,ಯೋಹಾನನು,jhn,kan
ಅ. ಕೃ.,ಅಪೊಸ್ತಲರ ಕೃತ್ಯಗಳು,ಅಪೊಸ್ತಲರ ಕೃತ್ಯಗಳು,act,kan
ರೋಮಾ,ರೋಮಾಪುರದವರಿಗೆ,ರೋಮಾಪುರದವರಿಗೆ,rom,kan
1ಕೊರಿ,1 ಕೊರಿಂಥದವರಿಗೆ,1 ಕೊರಿಂಥದವರಿಗೆ,1co,kan
2ಕೊರಿ,2 ಕೊರಿಂಥದವರಿಗೆ,2 ಕೊರಿಂಥದವರಿಗೆ,2co,kan
ಗಲಾ,ಗಲಾತ್ಯದವರಿಗೆ,ಗಲಾತ್ಯದವರಿಗೆ,gal,kan
ಎಫೆ,ಎಫೆಸದವರಿಗೆ,ಎಫೆಸದವರಿಗೆ,eph,kan
ಫಿಲಿಪ್ಪಿ,ಫಿಲಿಪ್ಪಿಯವರಿಗೆ,ಫಿಲಿಪ್ಪಿಯವರಿಗೆ,php,kan
ಕೊಲೊ,ಕೊಲೊಸ್ಸೆಯವರಿಗೆ,ಕೊಲೊಸ್ಸೆಯವರಿಗೆ,col,kan
1ಥೆಸ,1 ಥೆಸಲೋನಿಕದವರಿಗೆ,1 ಥೆಸಲೋನಿಕದವರಿಗೆ,1th,kan
2ಥೆಸ,2 ಥೆಸಲೋನಿಕದವರಿಗೆ,2 ಥೆಸಲೋನಿಕದವರಿಗೆ,2th,kan
1ತಿಮೊ,1 ತಿಮೊಥೆಯನಿಗೆ,1 ತಿಮೊಥೆಯನಿಗೆ,1ti,kan
2ತಿಮೊ,2 ತಿಮೊಥೆಯನಿಗೆ,2 ತಿಮೊಥೆಯನಿಗೆ,2ti,kan
ತೀತ,ತೀತನಿಗೆ,ತೀತನಿಗೆ,tit,kan
ಫಿಲೆ,ಫಿಲೆಮೋನನಿಗೆ,ಫಿಲೆಮೋನನಿಗೆ,phm,kan
ಇಬ್ರಿ,ಇಬ್ರಿಯರಿಗೆ,ಇಬ್ರಿಯರಿಗೆ,heb,kan
ಯಾಕೋ,ಯಾಕೋಬನು,ಯಾಕೋಬನು,jas,kan
1ಪೇತ್ರ,1 ಪೇತ್ರನು,1 ಪೇತ್ರನು,1pe,kan
2ಪೇತ್ರ,2 ಪೇತ್ರನು,2 ಪೇತ್ರನು,2pe,kan
1ಯೋಹಾ,1 ಯೋಹಾನನು,1 ಯೋಹಾನನು,1jn,kan
2ಯೋಹಾ,2 ಯೋಹಾನನು,2 ಯೋಹಾನನು,2jn,kan
3ಯೋಹಾ,3 ಯೋಹಾನನು,3 ಯೋಹಾನನು,3jn,kan
ಯೂದ,ಯೂದನು,ಯೂದನು,jud,kan
ಪ್ರಕ,ಪ್ರಕಟಣೆ,ಪ್ರಕಟಣೆ,rev,kan
ഉല്പ.,ഉല്പത്തി,ഉല്പത്തിപുസ്തകം,gen,mal
പുറ.,പുറപ്പാടു്,പുറപ്പാടുപുസ്തകം,exo,mal
ലേവ്യ.,ലേവ്യപുസ്തകം,ലേവ്യപുസ്തകം,lev,mal
സംഖ്യാ.,സംഖ്യാപുസ്തകം,സംഖ്യാപുസ്തകം,num,mal
ആവർത്തനം.,ആവർത്തനം.,ആവർത്തനപുസ്തകം,deu,mal
യോശുവ,യോശുവ,യോശുവ,jos,mal
ന്യായാ.,ന്യായാധിപന്മാർ,ന്യായാധിപന്മാർ,jdg,mal
രൂത്ത്,രൂത്ത്,രൂത്ത്,rut,mal
1 ശമു.,1 ശമൂവേൽ,ശമൂവേൽ: ഒന്നാം പുസ്തകം,1sa,mal
2 ശമു.,2 ശമൂവേൽ,ശമൂവേൽ: രണ്ടാം പുസ്തകം,2sa,mal
