abbr,short,long,bookCode,language
2தெச,2 தெசலோனிக்கேயர்,2 தெசலோனிக்கேயர்,2th,tam
1தீமோ,1 தீமோத்தேயு,1 தீமோத்தேயு,1ti,tam
2தீமோ,2 தீமோத்தேயு,2 தீமோத்தேயு,2ti,tam
தீத்,தீத்து,தீத்து,tit,tam
பிலே,பிலேமோன்,பிலேமோன்,phm,tam
எபி,எபிரெயர்,எபிரெயர்,heb,tam
யாக்,யாக்கோபு,யாக்கோபு,jas,tam
1பேது,1 பேதுரு,1 பேதுரு,1pe,tam
2பேது,2 பேதுரு,2 பேதுரு,2pe,tam
1யோவா,1 யோவான்,1 யோவான்,1jn,tam
2யோவா,2 யோவான்,2 யோவான்,2jn,tam
3யோவா,3 யோவான்,3 யோவான்,3jn,tam
யூதா,யூதா,யூதா,jud,tam
வெளி,வெளிப்படுத்தின விசேஷம்,வெளிப்படுத்தின விசேஷம்,rev,tam
ఆది,ఆదికాండం,ఆదికాండం,gen,tel
నిర్గ,నిర్గమకాండం,నిర్గమకాండం,exo,tel
లేవీ,లేవీకాండం,లేవీకాండం,lev,tel
సంఖ్యా,సంఖ్యాకాండం,సంఖ్యాకాండం,num,tel
ద్వితీ,ద్వితీయోపదేశ కాండము,ద్వితీయోపదేశ కాండము,deu,tel
యెహో,యెహోషువ,యెహోషువ,jos,tel
ख़ुरु,ख़ुरुज,ख़ुरुज,exo,urd
న్యాయా,న్యాయాధిపతులు,న్యాయాధిపతులు,jdg,tel
రూతు,రూతు,రూతు,rut,tel
1సమూ,1 సమూయేలు,1 సమూయేలు,1sa,tel
2సమూ,2 సమూయేలు,2 సమూయేలు,2sa,tel
1రాజులు,1 రాజులు,1 రాజులు,1ki,tel
2రాజులు,2 రాజులు,2 రాజులు,2ki,tel
1దిన,1 దినవృత్తాంతాలు,1 దినవృత్తాంతాలు,1ch,tel
2దిన,2 దినవృత్తాంతాలు,2 దినవృత్తాంతాలు,2ch,tel
ఎజ్రా,ఎజ్రా,ఎజ్రా,ezr,tel
నెహె,నెహెమ్యా,నెహెమ్యా,neh,tel
ఎస్తే,ఎస్తేరు,ఎస్తేరు,est,tel
యోబు,యోబు,యోబు,job,tel
కీర్త,కీర్తన,కీర్తనలు,psa,tel
సామె,సామెత,సామెతలు,pro,tel
ప్రస,ప్రసంగి,ప్రసంగి,ecc,tel
పరమ,పరమ,పరమగీతం,sng,tel
యెష,యెషయా,యెషయా,isa,tel
యిర్మీ,యిర్మీయా,యిర్మీయా,jer,tel
విలాప,విలాపవాక్యాలు,విలాపవాక్యాలు,lam,tel
యెహె,యెహెజ్కేలు,యెహెజ్కేలు,ezk,tel
దాని,దానియేలు,దానియేలు,dan,tel
హోషే,హోషేయ,హోషేయ,hos,tel
యోవే,యోవేలు,యోవేలు,jol,tel
ఆమో,ఆమోసు,ఆమోసు,amo,tel
ఓబద్యా,ఓబద్యా,ఓబద్యా,oba,tel
యోనా,యోనా,యోనా,jon,tel
మీకా,మీకా,మీకా,mic,tel
నహూ,నహూము,నహూము,nam,tel
హబ,హబక్కూకు,హబక్కూకు,hab,tel
జెఫ,జెఫన్యా,జెఫన్యా,zep,tel
హగ్గ,హగ్గయి,హగ్గయి,hag,tel
జెక,జెకర్యా,జెకర్యా,zec,tel
మలా,మలాకీ,మలాకీ,mal,tel
మత్తయి,మత్తయి,మత్తయి రాసిన సువార్త,mat,tel
మార్కు,మార్కు,మార్కు రాసిన సువార్త,mrk,tel
లూకా,లూకా,లూకా రాసిన సువార్త,luk,tel
యోహా,యోహాను,యోహాను రాసిన సువార్త,jhn,tel
అపొ.కా.,అపొస్తలుల కార్యములు,అపొస్తలుల కార్యములు,act,tel
రోమా,రోమీయులకు,రోమీయులకు రాసిన పత్రిక,rom,tel
1కొరింతీ,1 కొరింథీయులకు,కొరింతీయులకు రాసిన మొదటి పత్రిక,1co,tel
2కొరింతీ,2 కొరింథీయులకు,కొరింతీయులకు రాసిన రెండవ పత్రిక,2co,tel
గలతీ,గలతీ పత్రిక,గలతీయులకు రాసిన పత్రిక,gal,tel
ఎఫెసీ,ఎఫెసీ పత్రిక,ఎఫెసీయులకు రాసిన పత్రిక,eph,tel
ఫిలిప్పీ,ఫిలిప్పీ పత్రిక,ఫిలిప్పీయులకు రాసిన పత్రిక,php,tel
కొలస్సీ,కొలస్సీ పత్రిక,కొలస్సయులకు రాసిన పత్రిక,col,tel
1తెస్స,1 తెస్సలోనిక పత్రిక,తెస్సలోనికయులకు రాసిన మొదటి పత్రిక,1th,tel
2తెస్స,2 తెస్సలోనిక పత్రిక,తెస్సలోనికయులకు రాసిన రెండవ పత్రిక,2th,tel
1తిమో,1 తిమోతి పత్రిక,తిమోతికి రాసిన మొదటి పత్రిక,1ti,tel
2తిమో,2 తిమోతి పత్రిక,తిమోతికి రాసిన రెండవ పత్రిక,2ti,tel
తీతు,తీతు పత్రిక,తీతుకు రాసిన పత్రిక,tit,tel
ఫిలే,ఫిలేమోను పత్రిక,ఫిలేమోనుకు రాసిన పత్రిక,phm,tel
హెబ్రీ,హెబ్రీ పత్రిక,హెబ్రీయులకు రాసిన పత్రిక,heb,tel
యాకో,యాకోబు పత్రిక,యాకోబు రాసిన పత్రిక,jas,tel
1పేతు,1 పేతురు పత్రిక,పేతురు రాసిన మొదటి పత్రిక,1pe,tel
2పేతు,2 పేతురు పత్రిక,పేతురు రాసిన రెండవ పత్రిక,2pe,tel
1యోహా,1 యోహాను పత్రిక,యోహాను రాసిన మొదటి పత్రిక,1jn,tel
2యోహా,2 యోహాను పత్రిక,యోహాను రాసిన రెండవ పత్రిక,2jn,tel
3యోహా,3 యోహాను పత్రిక,యోహాను రాసిన మూడవ పత్రిక,3jn,tel
1ch,1 Chronicles,1 Chronicles,1ch,eng
యూదా,యూదా పత్రిక,యూదా రాసిన పత్రిక,jud,tel
ప్రక,ప్రకటన గ్రంథం,యోహాను రాసిన ప్రకటన గ్రంథం,rev,tel
अह,अहबार,अहबार,lev,urd
गिन,गिनती,गिनती,num,urd
इस्त,इस्तिस्ना,इस्तिस्ना,deu,urd
यशो,यशोअ,यशोअ,jos,urd
क़ुजा,क़ुजात,क़ुजात,jdg,urd
रुत,रुत,रुत,rut,urd
1 समु,1 समुएल,1 समुएल,1sa,urd
2 समु,2 समुएल,2 समुएल,2sa,urd
1 सला,1 सलातीन,1 सलातीन,1ki,urd
2 सला,2 सलातीन,2 सलातीन,2ki,urd
1 तवा,1 तवारीख़,1 तवारीख़,1ch,urd
2 तवा,2 तवारीख़,2 तवारीख़,2ch,urd
एज्रा,एज्रा,एज्रा,ezr,urd
नहे,नहेम्याह,नहेम्याह,neh,urd
आस्त,आस्तेर,आस्तेर,est,urd
अय्यू,अय्यूब,अय्यूब,job,urd
ज़बूर,ज़बूर,ज़बूर,psa,urd
अम्सा,अम्साल,अम्साल,pro,urd
वाइज़,वाइज़,वाइज़,ecc,urd
गज़लुल,गज़लुल गज़लियात,गज़लुल गज़लियात,sng,urd
यसा,यसायाह,यसायाह,isa,urd
यर्म,यर्मयाह,यर्मयाह,jer,urd
नोहा,नोहा,नोहा,lam,urd
हिज़ि,हिज़िक़िएल,हिज़िक़िएल,ezk,urd
दानि,दानिएल,दानिएल,dan,urd
होसी,होसीअ,होसीअ,hos,urd
यूए,यूएल,यूएल,jol,urd
आमू,आमूस,आमूस,amo,urd
अब्द,अब्दयाह,अब्दयाह,oba,urd
यूना,यूनाह,यूनाह,jon,urd
मीका,मीकाह,मीकाह,mic,urd
नाहूम,नाहूम,नाहूम,nam,urd
हबक़्,हबक़्क़ूक़,हबक़्क़ूक़,hab,urd
सफ़न,सफ़नयाह,सफ़नयाह,zep,urd
हज्जी,हज्जी,हज्जी,hag,urd
ज़कर,ज़करयाह,ज़करयाह,zec,urd
मला,मलाकी,मलाकी,mal,urd
मत्त,मत्ती,मत्ती,mat,urd
मर,मरकुस,मरकुस,mrk,urd
लूका,लूका,लूका,luk,urd
यूह,यूहन्ना,यूहन्ना,jhn,urd
रसूलों,रसूलों के आ'माल,रसूलों के आ'माल,act,urd
रोमि,रोमियों,रोमियों,rom,urd
1 कुरि,1 कुरिन्थियों,1 कुरिन्थियों,1co,urd
2 कुरि,2 कुरिन्थियों,2 कुरिन्थियों,2co,urd
गला,गलातियों,गलातियों,gal,urd
इफ़ि,इफ़िसियों,इफ़िसियों,eph,urd
फ़िलि,फ़िलिप्पियों,फ़िलिप्पियों,php,urd
कुलु,कुलुस्सियों,कुलुस्सियों,col,urd
1 थिस्स,1 थिस्सलुनीकियों,1 थिस्सलुनीकियों,1th,urd
2 थिस्स,2 थिस्सलुनीकियों,2 थिस्सलुनीकियों,2th,urd
1 तीमु,1 तीमुथियुस,1 तीमुथियुस,1ti,urd
2 तीमु,2 तीमुथियुस,2 तीमुथियुस,2ti,urd
तितु,तितुस,तितुस,tit,urd
फ़िले,फ़िलेमोन,फ़िलेमोन,phm,urd
इब्रा,इब्रानियों,इब्रानियों,heb,urd
या'क़ूब,या'क़ूब,या'क़ूब,jas,urd
1 पत,1 पतरस,1 पतरस,1pe,urd
2 पत,2 पतरस,2 पतरस,2pe,urd
1 यूह,1 यूहन्ना,1 यूहन्ना,1jn,urd
2 यूह,2 यूहन्ना,2 यूहन्ना,2jn,urd
3 यूह,3 यूहन्ना,3 यूहन्ना,3jn,urd
यहू,यहूदाह,यहूदाह,jud,urd
मुका,मुकाश्फ़ा,मुकाश्फ़ा,rev,urd
gen,Genesis,Genesis,gen,eng
exo,Exodus,Exodus,exo,eng
lev,Leviticus,Leviticus,lev,eng
num,Numbers,Numbers,num,eng
deu,Deuteronomy,Deuteronomy,deu,eng
jos,Joshua,Joshua,jos,eng
jdg,Judges,Judges,jdg,eng
rut,Ruth,Ruth,rut,eng
1sa,1 Samuel,1 Samuel,1sa,eng
2sa,2 Samuel,2 Samuel,2sa,eng
1ki,1 Kings,1 Kings,1ki,eng
2ch,2 Chronicles,2 Chronicles,2ch,eng
ezr,Ezra,Ezra,ezr,eng
neh,Nehemiah,Nehemiah,neh,eng
est,Esther,Esther,est,eng
job,Job,Job,job,eng
psa,Psalms,Psalms,psa,eng
pro,Proverbs,Proverbs,pro,eng
ecc,Ecclesiastes,Ecclesiastes,ecc,eng
sng,Song Of Solomon,Song Of Solomon,sng,eng
isa,Isaiah,Isaiah,isa,eng
jer,Jeremiah,Jeremiah,jer,eng
lam,Lamentations,Lamentations,lam,eng
ezk,Ezekiel,Ezekiel,ezk,eng
dan,Daniel,Daniel,dan,eng
hos,Hosea,Hosea,hos,eng
jol,Joel,Joel,jol,eng
amo,Amos,Amos,amo,eng
oba,Obadiah,Obadiah,oba,eng
jon,Jonah,Jonah,jon,eng
mic,Micah,Micah,mic,eng
nam,Nahum,Nahum,nam,eng
hab,Habakkuk,Habakkuk,hab,eng
zep,Zephaniah,Zephaniah,zep,eng
hag,Haggai,Haggai,hag,eng
zec,Zechariah,Zechariah,zec,eng
mal,Malachi,Malachi,mal,eng
mat,Matthew,Matthew,mat,eng
mrk,Mark,Mark,mrk,eng
luk,Luke,Luke,luk,eng
jhn,John,John,jhn,eng
act,Acts,Acts,act,eng
rom,Romans,Romans,rom,eng
1co,1 Corinthians,1 Corinthians,1co,eng
2co,2 Corinthians,2 Corinthians,2co,eng
gal,Galatians,Galatians,gal,eng
eph,Ephesians,Ephesians,eph,eng
php,Philippians,Philippians,php,eng
col,Colossians,Colossians,col,eng
1th,1 Thessalonians,1 Thessalonians,1th,eng
2th,2 Thessalonians,2 Thessalonians,2th,eng
1ti,1 Timothy,1 Timothy,1ti,eng
2ti,2 Timothy,2 Timothy,2ti,eng
phm,Philemon,Philemon,phm,eng
jas,James,James,jas,eng
1pe,1 Peter,1 Peter,1pe,eng
2pe,2 Peter,2 Peter,2pe,eng
1jn,1 John,1 John,1jn,eng
2jn,2 John,2 John,2jn,eng
3jn,3 John,3 John,3jn,eng
jud,Jude,Jude,jud,eng
rev,Revelation,Revelation,rev,eng
मत्ती,मत्ती,मत्ती के जरिये लिख्या गया सुसमाचार,mat,bgc
मर,मरकुस,मरकुस के जरिये लिख्या गया सुसमाचार,mrk,bgc
लूका,लूका,लूका के जरिये लिख्या गया सुसमाचार,luk,bgc
यूह,यूहन्ना,यूहन्ना के जरिये लिख्या गया सुसमाचार,jhn,bgc
प्रेरि,प्रेरितों के काम,प्रेरितां के काम का वर्णन,act,bgc
रोम,रोमियों,रोम नगर के माणसां ताहीं पौलुस की चिट्ठी,rom,bgc
1 कुरि,1 कुरिन्थियों,कुरिन्थिस नगर के माणसां ताहीं प्रेरित पौलुस की पैहली चिट्ठी,1co,bgc
2 कुरि,2 कुरिन्थियों,कुरिन्थिस नगर के माणसां ताहीं प्रेरित पौलुस की दुसरी चिट्ठी,2co,bgc
गला,गलातियों,गलातिया परदेस के माणसां ताहीं प्रेरित पौलुस की चिट्ठी,gal,bgc
इफि,इफिसियों,इफिसुस नगर के माणसां ताहीं प्रेरित पौलुस की चिट्ठी,eph,bgc
फिलि,फिलिप्पियों,फिलिप्पी नगर के माणसां ताहीं प्रेरित पौलुस की चिट्ठी,php,bgc
कुलु,कुलुस्सियों,कुलुस्से नगर के माणसां ताहीं प्रेरित पौलुस की चिट्ठी,col,bgc
1 थिस्स,1 थिस्सलुनीकियों,थिस्सलुनीकियों नगर के माणसां ताहीं प्रेरित पौलुस की पैहली चिट्ठी,1th,bgc
2 थिस्स,2 थिस्सलुनीकियों,थिस्सलुनीकियों नगर के माणसां ताहीं प्रेरित पौलुस की दुसरी चिट्ठी,2th,bgc
1 तीमुथि,1 तीमुथियुस,तीमुथियुस के नाम प्रेरित पौलुस की पैहली चिट्ठी,1ti,bgc
2 तीमुथि,2 तीमुथियुस,तीमुथियुस के नाम प्रेरित पौलुस की दुसरी चिट्ठी,2ti,bgc
तीतुस,तीतुस,तीतुस के नाम प्रेरित पौलुस की चिट्ठी,tit,bgc
फिले,फिलेमोन,फिलेमोन के नाम प्रेरित पौलुस की चिट्ठी,phm,bgc
इब्रा,इब्रानियों,इब्रानियों के नाम चिट्ठी,heb,bgc
याकूब,याकूब,याकूब की ओड़ तै चिट्ठी,jas,bgc
1 पत,1 पतरस,पतरस की पैहली चिट्ठी,1pe,bgc
2 पत,2 पतरस,पतरस की दुसरी चिट्ठी,2pe,bgc
1 यूह,1 यूहन्ना,यूहन्ना की पैहली चिट्ठी,1jn,bgc
2 यूह,2 यूहन्ना,यूहन्ना की दुसरी चिट्ठी,2jn,bgc
3 यूह,3 यूहन्ना,यूहन्ना की तीसरी चिट्ठी,3jn,bgc
यहूदा,यहूदा,यहूदा की चिट्ठी,jud,bgc
प्रका,प्रकाशित वाक्य,प्रकाशित वाक्य,rev,bgc
मत्ती,मत्ती,मत्ती री खुशखबरी,mat,bil
मर.,मरकुस,मरकुस री खुशखबरी,mrk,bil
लूका,लूका,लूका री खुशखबरी,luk,bil
यूह.,यूहन्ना,यूहन्ना री खुशखबरी,jhn,bil
प्रेरि.,प्रेरितां,प्रेरितां रे काम्म,act,bil
रोमी.,रोमियो,रोमियो,rom,bil
1 कुरि.,1 कुरिन्थियों,1 कुरिन्थियों,1co,bil
2 कुरि.,2 कुरिन्थियों,2 कुरिन्थियों,2co,bil
गला.,गलातियां,गलातियां,gal,bil
इफि.,इफिसियां,इफिसियां,eph,bil
फिलि.,फिलिप्पियां,फिलिप्पियां,php,bil
कुलु.,कुलुस्सियां,कुलुस्सियां,col,bil
1 थिस्स.,1 थिस्सलुनीकियां,1 थिस्सलुनीकियां,1th,bil
2 थिस्स.,2 थिस्सलुनीकियां,2 थिस्सलुनीकियां,2th,bil
1 तिमु.,1 तिमुथियुस,1 तिमुथियुस,1ti,bil
2 तिमु.,2 तिमुथियुस,2 तिमुथियुस,2ti,bil
तीतु.,तीतुस,तीतुस,tit,bil
फिले.,फिलेमोन,फिलेमोन,phm,bil
इब्रा.,इब्रानियों,इब्रानियों,heb,bil
याकू.,याकूब,याकूब,jas,bil
1 पत.,1 पतरस,1 पतरस,1pe,bil
2 पत.,2 पतरस,2 पतरस,2pe,bil
1 यूह.,1 यूहन्ना,1 यूहन्ना,1jn,bil
2 यूह.,2 यूहन्ना,2 यूहन्ना,2jn,bil
3 यूह.,3 यूहन्ना,3 यूहन्ना,3jn,bil
यहू.,यहूदा,यहूदा,jud,bil
प्रका.,प्रकाशितवाक्य,प्रकाशितवाक्य,rev,bil
मत्ती,मत्ती,मत्ती दा सनेया,mat,dgo
मरकुस,मरकुस,मरकुस दा सनेया,mrk,dgo
लूका,लूका,लूका दा सनेया,luk,dgo
यूहन्ना,यूहन्ना,यूहन्ना दा सनेया,jhn,dgo
प्रेरितों.,प्रेरितों के कम,प्रेरितों के कम,act,dgo
रोमियो,रोमियो,रोमियो,rom,dgo
1 कुरि.,1 कुरिन्थियों,1 कुरिन्थियों,1co,dgo
2 कुरि.,2 कुरिन्थियों,2 कुरिन्थियों,2co,dgo
गला.,गलातियों,गलातियों,gal,dgo
इफि.,इफिसियों,इफिसियों,eph,dgo
फिलि.,फिलिप्पियों,फिलिप्पियों,php,dgo
कुलु.,कुलुस्सियों,कुलुस्सियों,col,dgo
1 थिस्स.,1 थिस्सलुनीकियों,1 थिस्सलुनीकियों,1th,dgo
2 थिस्स.,2 थिस्सलुनीकियों,2 थिस्सलुनीकियों,2th,dgo
1 तीमु.,1 तीमुथियुस,1 तीमुथियुस,1ti,dgo
2 तीमु.,2 तीमुथियुस,2 तीमुथियुस,2ti,dgo
तीतुस,तीतुस,तीतुस,tit,dgo
फिलेमोन,फिलेमोन,फिलेमोन,phm,dgo
इब्रानियों,इब्रानियों,इब्रानियों,heb,dgo
याकूब,याकूब,याकूब,jas,dgo
1 पतरस,1 पतरस,1 पतरस,1pe,dgo
2 पतरस,2 पतरस,2 पतरस,2pe,dgo
1 यूहन्ना,1 यूहन्ना,1 यूहन्ना,1jn,dgo
2 यूहन्ना,2 यूहन्ना,2 यूहन्ना,2jn,dgo
3 यूहन्ना,3 यूहन्ना,3 यूहन्ना,3jn,dgo
यहूदा,यहूदा,यहूदा,jud,dgo
प्रकाशित.,प्रकाशितवाक्य,प्रकाशितवाक्य,rev,dgo
Mat,Matthew,Matthew Pora Likha Susamachar,mat,nag
Mrk,Mark,Mark Pora Likha Susamachar,mrk,nag
Luk,Luke,Luke Pora Likha Susamachar,luk,nag
Jhn,John,John Pora Likha Susamachar,jhn,nag
Act,Acts,Pasoni Khan Laga Kormo Khan,act,nag
Rom,Romans,Rome Te Thaka Khan Logot Paul Pora Likha Chithi,rom,nag
1Co,Prothom Corinthians,Corinth Te Thaka Khan Logot Paul Pora Likha Prothom Chithi,1co,nag
2Co,Duitio Corinthians,Corinth Te Thaka Khan Logot Paul Pora Likha Duitio Chithi,2co,nag
Gal,Galatians,Galatia Te Thaka Khan Logot Paul Pora Likha Chithi,gal,nag
Eph,Ephesians,Ephesus Te Thaka Khan Logot Paul Pora Likha Chithi,eph,nag
Php,Philippians,Philippi Te Thaka Khan Logot Paul Pora Likha Chithi,php,nag
Col,Colossians,Colossae Te Thaka Khan Logot Paul Pora Likha Chithi,col,nag
1Th,Prothom Thessalonians,Thessalonica Te Thaka Khan Logot Paul Laga Prothom Chithi,1th,nag
2Th,Duitio Thessalonians,Thessalonica Te Thaka Khan Logot Paul Laga Duitio Chithi,2th,nag
1Ti,Prothom Timothy,Timothy Ke Paul Pora Likha Prothom Chithi,1ti,nag
2Ti,Duitio Timothy,Timothy Ke Paul Pora Likha Duitio Chithi,2ti,nag
Tit,Titus,Titus Ke Paul Pora Likha Chithi,tit,nag
Phm,Philemon,Philemon Ke Paul Pora Likha Chithi,phm,nag
Heb,Hebrews,Ibrani Khan Ke Likha Chithi,heb,nag
Jas,James,James Pora Likha Chithi,jas,nag
1Pe,Prothom Peter,Peter Pora Likha Prothom Chithi,1pe,nag
2Pe,Duitio Peter,Peter Pora Likha Duitio Chithi,2pe,nag
1Jn,Prothom John,John Pora Likha Prothom Chithi,1jn,nag
2Jn,Duitio John,John Pora Likha Duitio Chithi,2jn,nag
3Jn,Tritio John,John Pora Likha Tritio Chithi,3jn,nag
Jud,Jude,Jude Pora Likha Chithi,jud,nag
Rev,Revelation,John Logot Prokahit Kora Kotha,rev,nag
