language,books,url,title,description,theme
eng,jud,https://youtu.be/6UoCmakZmys,Overview: Jude,"Watch our overview video on the book of Jude, which breaks down the literary design of the book and its flow of thought. In this book, Jude confronts corrupt teachers who distort the message about his brother Jesus and lead others astray.",New Testament
eng,rev,https://youtu.be/5nvVVcYD-0w,Overview: Revelation Ch. 1-11,"Watch our overview video on the book of Revelation, which breaks down the literary design of the book and its flow of thought. In Revelation, John's visions reveal that Jesus has overcome evil by his death and resurrection, and will return one day as the true king of the world.",New Testament
eng,rev,https://youtu.be/QpnIrbq2bKo,Overview: Revelation Ch. 12-22,"Watch our overview video on the book of Revelation, which breaks down the literary design of the book and its flow of thought. In Revelation, John's visions reveal that Jesus has overcome evil by his death and resurrection, and will return one day as the true king of the world.",New Testament
hin,OT,https://youtu.be/V2RNkOCjRRY,अवलोकन: पुराने नियम /तानाक,हम चाहते हैं कि आप बिना भटके या छोड़े पूरी बाइबल पढ़ें। हम बाइबल की हर पुस्तक का वीडियो उपलब्ध करते हैं जिसमें उसकी संरचना और योजना की रुपरेखा होती है और बताया जाता है कि वह कैसे सम्पूर्ण बाइबल की कहानी में उपयुक्त ठहरती है।,पुराना नियम
hin,gen,https://youtu.be/rhL-63rVmW0,अवलोकन: उत्पत्ति 1-11,"उत्पत्ति की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना   और विचार के प्रवाह को विभाजित करता है। उत्पत्ति पुस्तक में, परमेश्वर उनकी निरंतर असफलता और मूर्खता के बावजूद, अब्राहम के परिवार के माध्यम से विद्रोही मानवता को आशीष देने का वादा करते है।",पुराना नियम
hin,gen,https://youtu.be/4nEOAbd1Lzg,अवलोकन: उत्पत्ति 12-50,"उत्पत्ति की पुस्तक पर बने हमारे "" बाइबल पढ़ें वीडियो""  देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता हैं। उत्पत्ति पुस्तक में, परमेश्वर एक अच्छी दुनिया बनाकर मनुष्यो को राज्य करने के लिए प्रेरित करते हैं, लेकिन मनुष्य बुराई फैलाकर सब कुछ नष्ट कर देते हैं।",पुराना नियम
hin,exo,https://youtu.be/6CzYOcudkPU,अवलोकन: निर्गमन 1-18,"निर्गमन की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को तोड़ते है। निर्गमन पुस्तक में, परमेश्वर ने इज़राइल के लोगो को मिस्र की गुलामी से बचाया और फिरौन की बुराई तथा अन्याय का सामना किया।",पुराना नियम
hin,exo,https://youtu.be/bDKKiIB1Y_8,अवलोकन: निर्गमन 19-40,"निर्गमन  की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। निर्गमन पुस्तक में, परमेश्वर इज़राइलियों को एक वाचा में आमंत्रित करते हैं और उनके बीच वास करने के लिए आते हैं, लेकिन इज़राइल विद्रोह करता है और सम्बन्धों को खंडित करता है।",पुराना नियम
hin,lev,https://youtu.be/FMmRxdjtA5c,अवलोकन: लैव्यव्यवस्था,"लैव्यव्यवस्था की पुस्तक पर बने हमारे ""बाइबिल पढ़े"" वीडियो देखें, जो पुस्तक की  साहित्यिक रचना और विचार के प्रवाह को तोड़ते है। लैव्यव्यवस्था पुस्तक में, इजरायल के पवित्र परमेश्वर  ने अनुष्ठानों और पवित्र संस्थानों की एक श्रृंखला के माध्यम से लोगो के पाप के बावजूद उन्हें अपनी उपस्थिति में रहने के लिए आमंत्रित किया।",पुराना नियम
hin,num,https://youtu.be/bjfZf8DRRSo,अवलोकन: गिनती,"गिनती की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। गिनती पुस्तक में, इज़राइल जंगल से होकर अब्राहम से प्रतिज्ञा किए गए देश के मार्ग पर यात्रा करता है। जहाँ उनके दोहराए विद्रोह की मुलाकात परमेश्वर के न्याय और दया से होती है।",पुराना नियम
eng,isa,https://youtu.be/_TzdEPuqgQg,Overview: Isaiah 40-66,"Watch our overview video on chapters 40-66 of the book of Isaiah, which breaks down the literary design of the book and its flow of thought. Isaiah announces that God’s judgment will purify Israel and prepare his people for the coming messianic king and the new Jerusalem.",Old Testament
hin,"ezr, neh",https://youtu.be/d3HmsTWbF7M,अवलोकन: एज्रा और नहेम्याह,"एज्रा और नहेम्याह की भविष्यद्क्ताओ पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो प्रत्येक पुस्तक के विचार तथा साहित्यिक रचना को विभाजित करता है। इन पुस्तकों में, कई इज़राइली लोग निर्वासन के बाद यरूशलेम लौटते हैं और आत्मिक तथा नैतिक असफलताओं के साथ कुछ सफलता का सामना करते हैं।.",पुराना नियम
hin,deu,https://youtu.be/MNhQXSEY6d4,अवलोकन: व्यवस्था विवरण,"व्यवस्थाविवरण की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को तोड़ती है। व्यवस्थाविवरण पुस्तक में, मूसा ने प्रतिज्ञा किए गए देश में प्रवेश करने से पहले इस्राएलियों को, परमेश्वर के प्रति वफादार रहने का आह्वान किया तथा ज्ञान और चेतावनी के अंतिम शब्द दिए। |",पुराना नियम
hin,jos,https://youtu.be/e4hxFLv-XaI,अवलोकन: यहोशू,"यहोशू की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। यहोशू पुस्तक में, मूसा की मृत्यु के बाद यहोशू ने इज़राइल की अगुवाई की और वे  प्रतिज्ञा किये गए देश में जाकर बस गए जो उस समय कनानियों के कब्ज़े में था।",पुराना नियम
hin,jdg,https://youtu.be/uXhHIrUcgjI,अवलोकन: न्यायियो,"न्यायियो की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो  पुस्तक की साहित्यिक रचना और विचार के प्रवाह को तोड़ती  है। न्यायियो पुस्तक में, इज़राइली परमेश्वर से दूर हो जाते हैं और इसके परिणामों का सामना करते हैं। परमेश्वर विद्रोह, पश्चाताप, और बहाली के चक्रों में न्यायियों को उठाते है।",पुराना नियम
hin,rut,https://youtu.be/1rveyG9PIg0,अवलोकन: रुत,"रूत की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। रूत पुस्तक में, एक इज़राइली परिवार को दुखद घटना का सामना करना पड़ता है और परमेश्वर एक गैर-इज़राइली महिला की वफादारी का उपयोग करके दाऊद के घराने को पुनः स्थापित करते हैं ।",पुराना नियम
hin,1sa,https://youtu.be/MU3HLa1UsL0,अवलोकन: 1 शमूएल,"1 शमूएल की पुस्तक पर बने हमारे ""बाइबल पढ़े""  वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को तोड़ती है। 1 शमूएल पुस्तक में, परमेश्वर अनिच्छा से इस्राएलियों पर राज करने के लिए राजाओं को खड़ा करते हैं। पहला असफल रहता और उसके बदले दूसरा राजा, दाऊद, एक वफादार रहता है।",पुराना नियम
hin,2sa,https://youtu.be/iOS3O4ocVvg,अवलोकन: 2 शमूएल,"2 शमूएल की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। 2 शमूएल पुस्तक में, दाऊद परमेश्वर का सबसे वफादार राजा बन जाता है, लेकिन फिर उसके विद्रोह के परिणामस्वरूप उसके परिवार और साम्राज्य का धीरे-धीरे विनाश होने लगता है।",पुराना नियम
hin,"1ki, 2ki",https://youtu.be/fOVc6X7Jmbo,अवलोकन: 1-2 राजा,"1-2 राजाओं की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। राजाओं की पुस्तक में, दाउद का पुत्र सुलैमान इज़राइल को महानता के शिखर तक ले जाता है, लेकिन फिर असफल होता है और इज़राइल को गृहयुद्ध की दशा में ले जाता है, और अंततः उनका विनाश और निर्वासन हो जाता है।",पुराना नियम
eng,jer,https://youtu.be/RSK36cHbrk0,Overview: Jeremiah,"Watch our overview video on the book of Jeremiah, which breaks down the literary design of the book and its flow of thought. Jeremiah announces that God will judge Israel’s sins with an exile to Babylon. And then, he lives through the horror of his predictions.",Old Testament
hin,"1ch, 2ch",https://youtu.be/hWJE4EnAdhQ,अवलोकन: 1-2 इतिहास ,"1-2 इतिहास की पुस्तकों पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। इतिहास की पुस्तक पुराने नियम की कहानी को दोहराती है, जो मसीहा राजा और एक नए मंदिर की भविष्य की आशा को उजागर करता है।",पुराना नियम
hin,lam,https://youtu.be/GxEOTUGm-Gk,अवलोकन: विलापगीत,"विलापगीत की पुस्तक पर बने  हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। पुस्तक बेबीलोन द्वारा विनाश के बाद यरूशलेम के लिए दी गई पांच मृत्यु विलाप की कविताओं का संग्रह है।",पुराना नियम
hin,est,https://youtu.be/SZqFuGzGb6s,अवलोकन: एस्तेर,"एस्तेर की पुस्तक पर हमारे बने ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की  साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। एस्तेर पुस्तक में, परमेश्वर गोपनीय रूप से दो निर्वासित इस्राएलियों का उपयोग अपने लोगों को  विनाश से बचाने के लिए करते है। इसमें परमेश्वर के कार्यों का प्रत्यक्ष उल्लेख नहीं है!",पुराना नियम
hin,job,https://youtu.be/8FbCNUoW2HY,अवलोकन: अय्यूब,"अय्यूब की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की  साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। अय्यूब की पुस्तक,  मानव दुखों की ओर परमेश्वर के रिश्ते के कठिन सवाल की पड़ताल करती है और हमें परमेश्वर के ज्ञान और चरित्र पर भरोसा करने के लिए आमंत्रित करती है।",पुराना नियम
hin,psa,https://youtu.be/tjL7fHXMIaI,अवलोकन: भजन संहिता,"भजन संहिता की पुस्तक पर बने हमारे "" बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। भजन संहिता की पुस्तक को परमेश्वर के लोगों की प्रार्थना पुस्तक के रूप में रचा गया था जब वे मसीहा और उसके आने वाले राज्य की प्रतीक्षा कर रहे थे",पुराना नियम
hin,pro,https://youtu.be/KnGgYQoybzo,अवलोकन: नीतिवचन,"नीतिवचन की पुस्तक पर बने  हमारे ""बाइबल पढ़े "" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है । नीतिवचन की पुस्तक लोगों को अच्छे जीवन का अनुभव करने के लिए ज्ञान और परमेश्वर  के भय में रहने के लिए आमंत्रित करती है।",पुराना नियम
hin,ecc,https://youtu.be/NNqL96_70ik,अवलोकन: सभोपदेशक,"सभोपदेशक की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की  साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। यह पुस्तक हमें मृत्यु और अनियमित अवसर तथा चुनौतियों का सामना करने के लिए मजबूर करती है जो  परमेश्वर की अच्छाई पर एक साधारण विश्वास के लिए तैयार करती हैं।",पुराना नियम
hin,sng,https://youtu.be/N_597MPgDwc,अवलोकन: श्रेष्ठगीत,"श्रेष्ठगीत पर बने हमारे """"बाइबल पढ़े"""" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। श्रेष्ठगीत प्राचीन इज़राइली प्रेम कविताओं का संग्रह है जो परमेश्वर के द्वारा दिए गए प्रेम और यौन इच्छा की सुंदर और शक्तिशाली भेंट का गुणगान है।",पुराना नियम
hin,isa,https://youtu.be/B_e68mdact4,अवलोकन: यशायाह 1-39,"यशायाह की पुस्तक के पहले 39 अध्यायों पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। यशायाह ने घोषणा की है कि परमेश्वर का न्याय इस्राएल को शुद्ध करेगा और आने वाले मसीही राजा और नए यरूशलेम के लिए अपने लोगों को तैयार करेगा।",पुराना नियम
hin,isa,https://youtu.be/FeDwb5L3jyY,अवलोकन: यशायाह 40-66,"यशायाह की पुस्तक के 40-66 अध्यायों पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। यशायाह ने घोषणा की है कि परमेश्वर का न्याय इस्राएल को शुद्ध करेगा और आने वाले मसीही राजा और नए यरूशलेम के लिए अपने लोगों को तैयार करेगा।",पुराना नियम
hin,jer,https://youtu.be/ubIk_SUCKKE,अवलोकन: यिर्मयाह,"यिर्मयाह की पुस्तक पर बने हमारे """"बाइबल पढ़ें"""" वीडियो देखें, जो पुस्तक की  साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। यिर्मयाह घोषणा करता है कि परमेश्वर बेबीलोन के निर्वासन के साथ इस्राएल के पापों का न्याय करेगा। और फिर, वह अपने द्वारा की भविष्यवाणियों के डर से गुज़रता है।",पुराना नियम
hin,ezk,https://youtu.be/sZEHXarJzno,अवलोकन: यहेज्केल 1-33,"यहेज्केल की पुस्तक के पहले भाग पर बने हमारे""""बाइबल पढ़ें"""" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। बेबीलोन में निर्वासन में, यहेजकेल दिखाता है कि इज़राइल इस दंड के लायक था और यह भी कि परमेश्वर का न्याय भविष्य के लिए आशा पैदा करता है।",पुराना नियम
hin,ezk,https://youtu.be/HLBQeNuLq3I,अवलोकन: यहेज्केल 34-48,"यहेजकेल की पुस्तक के दूसरे भाग पर बने हमारे""""बाइबल पढ़ें"""" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। बेबीलोन में निर्वासन में, यहेजकेल दिखाता है कि इज़राइल इस दंड के लायक था और यह भी कि परमेश्वर का न्याय भविष्य के लिए आशा पैदा करता है।",पुराना नियम
hin,dan,https://youtu.be/y79L4cfNFc4,अवलोकन: दानिय्येल,"दानिय्येल की पुस्तक पर बने हमारे"" बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की  साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। बेबीलोन में निर्वासन के बावजूद दानिय्येल की कहानी परमेश्वर के प्रति विश्वासयोग्य रहने को प्रेरित करती है। उनके सपने आशा करते हैं कि परमेश्वर सभी राष्ट्रों को उनके शासन के अधीन लाएंगे।",पुराना नियम
hin,hos,https://youtu.be/CRFMkuep0Ek,अवलोकन: होशे,"होशे की पुस्तक पर बने हमारे""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। इस पुस्तक में, होशे ने इज़राइल पर परमेश्वर के साथ अपनी वाचा तोड़ने का आरोप लगाया और उसके परिणामस्वरूप दुखद परिणामों की चेतावनी दी।",पुराना नियम
hin,jol,https://youtu.be/7JI8NhShVZw,अवलोकन: योएल,"योएल की पुस्तक पर बने हमारे""""बाइबल पढ़ें"""" वीडियो देखें, जो पुस्तक की  साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। योएल """"परमेश्वर के दिन"""" को प्रतिबिंबित करता है और यह कि कैसे सच्चा पश्चाताप अन्य भविष्यवाणियों की पुस्तकों में की गई महान पुनः स्थापना की आशा को लाएगा।",पुराना नियम
hin,amo,https://youtu.be/fEy-g7npnq8,अवलोकन: आमोस,"आमोस की पुस्तक पर बने हमारे """"बाइबल पढ़ें"""" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। इस पुस्तक में, आमोस ने इज़राइल पर परमेश्वर के साथ अपनी वाचा तोड़ने का आरोप लगाया और बताया कि उनकी मूर्तिपूजा ने अन्याय और गरीबों की कैसे उपेक्षा कैसे की है।",पुराना नियम
hin,oba,https://youtu.be/4zHALlMf6Co,अवलोकन: ओबादयाह,"ओबद्याह की पुस्तक पर बने हमारे""""बाइबल पढ़ें"""" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। ओबद्याह ने बेबीलोन के हाथों एदोम के पतन की घोषणा की, जो एक प्रतीक के समान है कि कैसे परमेश्वर सभी घमंडी और हिंसक जातियों को गिराएगा।",पुराना नियम
hin,jon,https://youtu.be/jnr4VhXPMUw,अवलोकन: योना,"योना की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। योना की पुस्तक एक विद्रोही भविष्यद्वक्ता की एक क्रन्तिकारी कहानी है जो अपने दुश्मनों से प्रेम करने के लिए अपने परमेश्वर को गलत मानता है।",पुराना नियम
hin,mic,https://youtu.be/ylp7z7EQg48,अवलोकन: मीका,"मीका की पुस्तक पर बने हमारे """"बाइबल पढ़ें"""" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। इस पुस्तक में, मीका ने घोषणा की कि इजरायल के पाप और निर्वासन के दूसरी तरफ प्रेम और वफादारी का नया भविष्य लेकर परमेश्वर का न्याय आ रहा है।",पुराना नियम
hin,nam,https://youtu.be/mHRIAT-v5t8,अवलोकन: नहूम,"नहूम की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" पवित्रशास्त्र वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। इस पुस्तक में, नहूम ने निनवे और अश्शूर के पतन को चित्रित किया है कि कैसे परमेश्वर सभी हिंसक मानव साम्राज्यों का विरोध करेंगे और उन्हें नीचे लाएंगे।",पुराना नियम
hin,hab,https://youtu.be/Rtu8duvVyuo,अवलोकन: हबक्कूक,"हबक्कूक की पुस्तक पर बने हमारे""""बाइबल पढ़ें"""" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। इस पुस्तक में, हबक्कूक दुनिया में बुराई और अन्याय के बीच में परमेश्वर की भलाई को समझने का प्रयास करता है।",पुराना नियम
hin,zep,https://youtu.be/44neBcu6RB4,अवलोकन: सपन्याह,"सपन्याह की पुस्तक पर बने हमारे""बाइबल पड़े"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। इस पुस्तक में, सपन्याह ने इस्राएल पर परमेश्वर के शुद्धिकरण के फैसले की घोषणा की। यह बुराई को दूर कर देगा और एक नया भविष्य उत्पन्न करेगा जहां सभी लोग शांति से रह सकते हैं।",पुराना नियम
hin,hag,https://youtu.be/DZAvBTZkx-4,अवलोकन: हाग्गै,"हाग्गै की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। इस पुस्तक में, हाग्गै ने निर्वासन के बाद इज़राइल को अपने परमेश्वर के प्रति विश्वासयोग्य रहने और मंदिर का पुनर्निर्माण करने का आह्वान किया।",पुराना नियम
hin,zec,https://youtu.be/WMH4HFGQWv0,अवलोकन: जकर्याह,"जकर्याह की पुस्तक पर बने हमारे""""बाइबल पढ़ें"""" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। इस पुस्तक में, जकर्याह के दृष्टांतों ने मसीह के राज्य के भविष्य के वादे में आशा को बढ़ावा दिया और निर्वासन के बाद इज़राइल को परमेश्वर के प्रति विश्वासयोग्य रहने का आह्वान किया।",पुराना नियम
hin,mal,https://youtu.be/8tnUW8NrZNw,अवलोकन: मलाकी,"मलाकी की पुस्तक पर बने हमारे""""बाइबल पढ़ें"""" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। इस पुस्तक में, मलाकी निर्वासन के बाद  इजरायल पर स्वार्थी होने आरोप लगाता है और घोषणा करता है कि परमेश्वर का दिन इस्राएल को शुद्ध करेगा और उन्हें परमेश्वर के राज्य के लिए तैयार करेगा।",पुराना नियम
hin,NT,https://youtu.be/IIBMk_Y1s2Y,अवलोकन: नए नियम,हम चाहते हैं कि आप बिना भटके या छोड़े पूरी बाइबल पढ़ें। हम बाइबल की हर पुस्तक का वीडियो उपलब्ध करते हैं जिसमें उसकी संरचना और योजना की रुपरेखा होती है और बताया जाता है कि वह कैसे सम्पूर्ण बाइबल की कहानी में उपयुक्त ठहरती है।,नया नियम
hin,mat,https://youtu.be/6BlA3f9MrsU,अवलोकन: मत्ती 1-13,"मत्ती की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। मत्ती पुस्तक में, यीशु धरती पर परमेश्वर के स्वर्गीय राज्य को लाते है और अपने चेलों को अपनी मृत्यु और पुनरुत्थान के द्वारा जीवन के एक नए मार्ग पर चलने को आमंत्रित करते है।",नया नियम
hin,mat,https://youtu.be/t1igXIOBaCI,अवलोकन: मत्ती 14-28,"मत्ती की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। मत्ती पुस्तक में, यीशु धरती पर परमेश्वर के स्वर्गीय राज्य को लाते है और अपने चेलों को अपनी मृत्यु और पुनरुत्थान के द्वारा जीवन के एक नए मार्ग पर चलने को आमंत्रित करते है।",नया नियम
hin,mrk,https://youtu.be/T4nFgWFAXlQ,अवलोकन: मरकुस,"मरकुस की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचार के प्रवाह को विभाजित करता है। मरकुस दर्शाता है कि यीशु इजरायल के मसीहा है जो अपने दुख, मृत्यु और पुनरुत्थान के द्वारा परमेश्वर के राज्य की शुरुआत करता है।",नया नियम
hin,luk,https://youtu.be/5YyZqeFRwxQ,अवलोकन: लुका अध्याय 1-9,"लुका की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। लूका पुस्तक में, यीशु परमेश्वर और इज़राइल की वाचा की कहानी को चरम बिंदु पर ले जाता है और वह परमेश्वर के राज्य की खुशखबरी गरीबों और अमीरों को सुनाता है।",नया नियम
hin,luk,https://youtu.be/hY3DZ7010T0,अवलोकन: लुका अध्याय 10-24,"लुका की पुस्तक पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और उसके विचारों के प्रवाह को विभाजित करता है। लूका पुस्तक में, यीशु परमेश्वर और इज़राइल की वाचा की कहानी को चरम बिंदु पर ले जाता है और वह परमेश्वर के राज्य की खुशखबरी गरीबों और अमीरों को सुनाता है।",नया नियम
hin,jhn,https://youtu.be/S9vgszI8w1A,अवलोकन: यूहन्ना 1-12,"यूहन्ना के सुसमाचार पर बने हमारे ""बाइबल पढ़ें"" वीडियो देखें, जो पुस्तक की साहित्यिक रचना और विचार के प्रवाह को विभाजित करता है। यूहन्ना पुस्तक में, इज़राइल के सृष्टिकर्ता परमेश्वर के रूप में यीशु ने मनुष्य देह्धारण किया, ताकि अपने प्रेम और अनन्त जीवन की भेंट को दुनिया के साथ साझा कर सके।",नया नियम
